Sample_ID,Kin,Mn,Family,Label_day,Control,Tissue_Type,Sample_Mass,EA_Mass,Percent_C,Delta_value,CN_Ratio,Recm_tips,Decm_tips,wetshootwt,wetrootwt,Root_wet_weight_removed,wetneedlewt,wetstemwt,dryneedlewt,drystemwt,dryrootwt,biomass,agbiomass,leafarea,stemlength,rVOL,branches,needles,areaperneedle,ECM Tips,wtpertip,subbranches,GROWTHRATE,dLA,dstemlength,dVOL,Al,B,C_total,Ca,Cu,Fe,K,Mg,Mn,Mo,N,Na,P,S,Zn,Wt_ICP,Health,,,,Recm_tips,Decm_tips
3.4.1.0.1,0,1,4,2,0,Dfine,1.162,0.0049,20.69,-10.38288128,34.2,34,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,
3.4.2.0.1,0,1,4,1,0,Dfine,1.642,0.0052,18.24,-2.640000006,27.19,11,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.1.1.0.0,0,0,1,1,0,Dfine,1.052,0.0049,22.93,23.62075584,29.45,19,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.1.3.0.0,0,0,1,2,0,Dfine,1.192,0.0053,19.58,2.124311143,30.1,73,1135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.1.5.0.1,0,1,1,2,0,Dfine,0.872,0.0048,19.09,9.346618294,25.95,42,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.3.1.0.0,0,0,3,2,0,Dfine,1.142,0.0053,20.25,-8.854101291,30.1,20,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.3.2.0.0,0,0,3,1,0,Dfine,1.692,0.0052,24.04,-25.5278747,30.5,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.4.1.1.1,1,1,4,1,0,Dfine,0.792,0.0051,19.95,-7.033877941,31.27,17,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,,,,
4.4.2.1.0,1,0,4,1,0,Dfine,1.812,0.005,18.07,-13.21512248,27.58,51,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.4.3.1.1,1,1,4,2,0,Dfine,0.542,0.0052,20.84,-26.35217209,31.72,18,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
1.2.4.0.0,0,0,2,1,1,Dfine,1.032,0.0052,15.34,-26.28952217,28.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
2.2.1.1.0,1,0,2,1,1,Dfine,1.612,0.0051,17.08,-25.03585061,29.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
2.2.2.1.1,1,1,2,2,1,Dfine,1.062,0.0053,21.43,-25.60096324,31.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
2.2.3.1.1,1,1,2,1,1,Dfine,1.352,0.0051,23.55,-25.78540618,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
2.2.4.1.1,1,1,2,2,1,Dfine,1.052,0.0052,21.96,-26.07521857,32.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
2.3.2.0.1,0,1,3,2,1,Dfine,2.202,0.0052,25.78,-25.93671868,31.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
2.4.2.0.1,0,1,4,2,1,Dfine,1.492,0.0049,18.97,-25.98600128,28.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
3.1.5.0.1,0,1,1,1,1,Dfine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
3.2.1.0.0,0,0,2,2,1,Dfine,1.122,0.0049,20.65,-25.94512903,30.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
3.3.2.1.1,1,1,3,1,1,Dfine,1.592,0.0052,20.36,-25.99730232,29.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
3.3.4.1.0,1,0,3,1,1,Dfine,1.542,0.0053,22.3,-25.85500052,31.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
4.2.2.0.0,0,0,2,2,1,Dfine,1.402,0.005,13.92,-25.20348997,27.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,,,,
1.1.1.1.0,1,0,1,2,0,Droot,3.0309,0.0017,38.83,96.00782309,37.32,33,211,10.7,11.15,NA,7.28,3.16,3.038,1.4597,3.0309,NA,NA,138.6,32.5,NA,18,NA,NA,NA,NA,0,0.770833333,NA,NA,NA,22.629068,34.154416,50.713585,0.513483,1.694695,76.951337,0.65483,0.165864,165.757163,0.150121,1.103013,125.014847,0.359288,0.133653,44.550147,0.244,0,,,,,
1.1.1.1.1,1,1,1,2,0,Droot,1.3884,0.0017,41.6,211.0759897,41.76,15,169,8.47,6.17,1.3,6.59,1.61,2.7225,0.7595,1.3884,NA,NA,147.05,20.6,NA,13,NA,NA,NA,NA,0,0.6875,NA,NA,NA,18.148668,37.046816,49.653828,0.295014,2.228495,39.088737,1.107945,0.112264,85.501063,0.561721,0.945231,42.759347,0.360131,0.087225,50.907347,0.247,0,,,,,
1.1.3.1.1,1,1,1,1,0,Droot,1.5,0.0015,43.04,108.0606548,42.02,40,132,6.24,7.56,1.26,4.03,1.9,1.52,0.7,1.5,NA,NA,84.464,22,NA,9,NA,NA,NA,NA,0,0.170833333,NA,NA,NA,57.994268,65.715716,50.257271,0.503816,8.382795,126.321737,0.903261,0.156801,144.885163,0.333021,1.344654,187.688947,0.536824,0.126427,66.005647,0.247,0,,,,,
1.1.4.1.1,1,1,1,1,0,Droot,2,0.0016,49.9,184.9266782,37.15,26,237,9.69,9.37,1.85,6.32,3.25,2.48,1.36,2,NA,NA,134.165,23,NA,19,NA,NA,NA,NA,0,0.095833333,NA,NA,NA,28.482068,39.895716,50.439049,0.487646,5.250295,91.594937,0.957942,0.146532,86.515263,0.230021,1.12878,233.920647,0.397102,0.111036,38.030947,0.243,0,,,,,
1.1.5.1.0,1,0,1,1,0,Droot,2.0071,0.0016,48.51,169.8505834,39.95,28,311,7.74,8.53,1.04,5.13,2.15,2.0502,0.929,2.0071,NA,NA,115.942,30.8,NA,15,NA,NA,NA,NA,0,1.391666667,NA,NA,NA,40.991768,70.759616,50.472912,0.588982,3.301695,51.237037,0.945172,0.19993,99.142063,0.225121,1.14126,90.007547,0.670422,0.128873,64.413347,0.252,0,,,,,
1.3.1.0.1,0,1,3,1,0,Droot,1.89,0.0017,41.6,412.88,38.71,11,126,9.72,11.01,1.94,6.6,2.3,2.15,0.77,1.89,NA,NA,148.641,22.2,NA,11,NA,NA,NA,NA,2,0.825,NA,NA,NA,8.150568,64.430916,50.13261,0.526061,6.347095,56.122037,1.299334,0.18127,125.128863,0.755221,1.556466,460.073247,0.69596,0.140184,100.446147,0.247,0,,,,,
1.3.2.0.1,0,1,3,2,0,Droot,2.32,0.0023,41.6,166.03,38.71,37,528,10.12,10.38,NA,6.01,3.44,2.13,1.35,2.32,NA,NA,123.563,24.6,NA,14,NA,NA,NA,NA,0,0.433333333,NA,NA,NA,10.002568,57.060716,50.101719,0.48285,3.264195,89.895137,1.365984,0.151975,120.244463,1.053121,1.439062,125.829247,0.538403,0.155621,59.452547,0.238,0,,,,,
1.3.4.0.0,0,0,3,2,0,Droot,1.8,0.0023,41.6,258.46,38.71,28,214,5.08,6.4,0.77,3.45,1.44,1.45,1.06,1.8,NA,NA,71.336,20.4,NA,11,NA,NA,NA,NA,0,0.179166667,NA,NA,NA,9.261368,48.497116,52.133125,0.50617,5.107095,85.185337,0.716067,0.153763,160.375663,0.264521,1.157009,159.264847,0.50781,0.114887,85.582847,0.254,0,,,,,
1.3.5.0.0,0,0,3,1,0,Droot,2.1,0.0015,44.87,72.87841694,38.12,11,115,7.24,7.83,0.85,5.06,1.75,1.97,0.7,2.1,NA,NA,108.384,18.5,NA,16,NA,NA,NA,NA,1,0.275,NA,NA,NA,7.016168,50.514616,50.059643,0.480056,4.698395,42.316637,1.056497,0.147646,88.232563,0.291321,1.112596,171.643247,0.630041,0.089773,71.756247,0.251,0,,,,,
1.4.1.0.1,0,1,4,1,0,Droot,2.96,0.0015,47.49,224.2974325,35.41,67,312,11.11,12.24,0.91,6.88,3.36,2.74,1.48,2.96,NA,NA,136.351,27.6,NA,17,NA,NA,NA,NA,0,0.229166667,NA,NA,NA,8.074268,53.780716,50.982376,0.493582,3.388395,58.940337,0.900679,0.14933,115.077863,0.474221,1.165874,92.795647,0.557482,0.119585,64.735947,0.251,0,,,,,
2.1.3.0.0,0,0,1,2,0,Droot,2.19,0.0016,43.74,243.6747922,35.74,46,201,9.51,8.44,0.82,6.48,2.27,2.5,1.35,2.19,NA,NA,177.868,24.7,NA,13,NA,NA,NA,NA,2,0.220833333,NA,NA,NA,11.458568,35.789816,49.973274,0.413871,3.933395,66.622637,0.814051,0.103217,108.545163,0.249621,1.16917,162.610547,0.312907,0.120531,46.222747,0.25,0,,,,,
2.1.4.0.1,0,1,1,1,0,Droot,2.3,0.0017,47.47,100.4531077,42.82,41,253,8.64,9.29,1.5,6.07,2.02,2.41,1.3,2.3,NA,NA,145.953,20.5,NA,16,NA,NA,NA,NA,0,-0.1125,NA,NA,NA,9.075368,41.523716,50.34655,0.529753,3.413795,52.058137,0.930289,0.148979,111.499063,0.488421,0.889962,96.463747,0.407313,0.151197,53.933347,0.247,0,,,,,
2.1.5.0.1,0,1,1,2,0,Droot,0.81,0.0015,44.07,179.9977341,38.68,19,339,4.69,6.28,NA,3.18,1.29,1.14,0.43,0.81,NA,NA,84.131,21.9,NA,7,NA,NA,NA,NA,0,0.395833333,NA,NA,NA,21.925168,61.280016,50.074905,0.685007,4.175895,93.993737,0.964198,0.166803,112.687463,0.326221,1.071738,133.307747,0.510755,0.16256,73.256347,0.248,0,,,,,
2.2.1.1.1,1,1,2,1,0,Droot,2.81,0.0017,38.9,293.5336897,34.28,17,157,10.58,11.76,1.12,6.85,2.79,2.72,1.27,2.81,NA,NA,155.793,25.7,NA,20,NA,NA,NA,NA,0,0.041666667,NA,NA,NA,27.217768,59.030016,50.189644,0.602676,5.115995,88.262337,1.225094,0.151848,121.265763,0.652621,1.298229,129.187247,0.495968,0.195587,62.825247,0.248,0,,,,,
2.2.3.1.0,1,0,2,2,0,Droot,0.84,0.0015,44.4,246.3759847,54.77,51,212,5.84,4.32,0.63,4.1,1.41,1.41,0.53,0.84,NA,NA,100.8,26.6,NA,15,NA,NA,NA,NA,0,0.7625,NA,NA,NA,15.393768,59.292816,49.292603,0.46782,5.174095,61.794137,1.334479,0.164714,119.090763,0.874921,1.263807,197.157747,0.663134,0.192717,95.082647,0.25,0,,,,,
2.2.4.1.0,1,0,2,2,0,Droot,3.26,0.0017,28.78,101.6137764,39.52,24,371,14.43,14.06,NA,9.43,4.13,3.66,1.99,3.26,NA,NA,236.706,29.8,NA,32,NA,NA,NA,NA,6,0.204166667,NA,NA,NA,18.507768,35.775716,50.346867,0.57706,3.757995,91.130737,1.092541,0.162605,115.149463,0.221121,1.021274,204.371447,0.326364,0.173828,50.685947,0.149,0,,,,,
2.2.5.1.0,1,0,2,1,0,Droot,1.47,0.0017,33.6,329.8834253,33.5,17,74,5.48,8.97,0.9,3.25,1.89,1.23,0.6,1.47,NA,NA,76.725,29.5,NA,4,NA,NA,NA,NA,0,1.116666667,NA,NA,NA,13.678868,35.887816,50.015339,0.773394,2.542895,83.479437,0.949852,0.196395,98.590463,0.177621,1.442191,281.883047,0.391314,0.163453,55.798947,0.248,0,,,,,
2.2.5.1.1,1,1,2,2,0,Droot,0.82,0.0015,36.58,340.9219946,35.34,36,85,5.22,5.96,NA,3.81,1.23,1.39,0.48,0.82,NA,NA,70.86,19,NA,5,NA,NA,NA,NA,0,0.4875,NA,NA,NA,20.629168,57.679516,49.330818,0.525919,6.172795,86.304037,1.188626,0.145369,103.365463,0.590421,1.068224,144.810947,0.549878,0.146433,66.553347,0.249,0,,,,,
2.3.5.0.0,0,0,3,2,0,Droot,1.34,0.0014,36.66,121.0247459,31.36,0,2,5.71,6.06,0.88,3.77,1.91,1.66,0.89,1.34,NA,NA,91.049,22.8,NA,23,NA,NA,NA,NA,0,0.141666667,NA,NA,NA,21.521568,42.086716,49.637688,0.488147,4.830995,75.884537,1.250928,0.142517,83.808763,0.213821,1.05661,225.988247,0.447628,0.164456,51.707047,0.246,1,,,,,
2.4.1.0.1,0,1,4,2,0,Droot,2.92,0.0015,42.22,74.69820099,41.94,51,780,12.31,12.83,NA,8.25,3.18,3.22,1.46,2.92,NA,NA,186.894,27.4,NA,24,NA,NA,NA,NA,5,0.141666667,NA,NA,NA,20.568168,47.698216,50.331253,0.486621,5.073995,84.815837,1.047741,0.134883,129.695963,0.222021,1.153319,337.842347,0.376893,0.171217,57.555947,0.25,0,,,,,
2.4.3.0.0,0,0,4,1,0,Droot,0.84,0.0014,49.92,158.6937172,41.85,105,247,5,5.22,0.6,3.81,0.98,1.33,0.43,0.84,NA,NA,113.361,20.2,NA,11,NA,NA,NA,NA,2,0.329166667,NA,NA,NA,17.746568,51.492316,49.332741,0.47385,5.947295,106.439937,1.161187,0.169875,146.345663,0.378521,1.299135,173.489747,0.483399,0.18313,88.719447,0.248,0,,,,,
3.2.3.0.0,0,0,2,1,0,Droot,2.29,0.0017,43.91,133.1333695,39.59,7,122,8.93,9.92,1.83,5.35,3.32,1.97,1.34,2.29,NA,NA,112.31,30.7,NA,18,NA,NA,NA,NA,0,0.079166667,NA,NA,NA,9.444068,72.089816,49.500752,0.493453,3.144695,58.223637,1.393353,0.183818,170.949063,0.450321,1.063766,166.230647,0.45851,0.226413,65.151547,0.233,0,,,,,
3.2.5.0.1,0,1,2,1,0,Droot,1.29,0.0014,44.29,307.22531,32.85,12,209,8.56,5.19,0.49,5.02,2.96,1.78,1.18,1.29,NA,NA,108.337,27.5,NA,15,NA,NA,NA,NA,5,0.2375,NA,NA,NA,10.341668,44.887516,49.593544,0.706507,2.376895,79.605437,1.332783,0.219866,144.501163,0.209421,1.459707,164.614047,0.394536,0.108225,59.535947,0.245,0,,,,,
3.3.1.1.1,1,1,3,2,0,Droot,2.69,0.0017,38.18,134.0506498,34.38,34,91,13.2,12.1,NA,8.53,4.17,3.06,1.92,2.69,NA,NA,176.539,28.4,NA,22,NA,NA,NA,NA,1,0.175,NA,NA,NA,14.030068,52.925116,49.709373,0.427072,2.439295,57.035237,0.972135,0.133022,67.471163,0.273121,1.283854,209.393647,0.312812,0.142509,36.045447,0.255,0,,,,,
3.3.2.1.0,1,0,3,2,0,Droot,1.43,0.0017,47.32,179.840768,40.95,20,161,7.87,6.1,NA,5.31,2.29,1.96,1.03,1.43,NA,NA,115.602,27.5,NA,14,NA,NA,NA,NA,0,0.345833333,NA,NA,NA,20.009368,51.555416,50.523586,0.334714,4.314795,72.721037,0.885458,0.12134,90.322163,0.406921,1.065567,201.028247,0.33398,0.120979,61.601747,0.251,0,,,,,
3.3.3.1.0,1,0,3,1,0,Droot,1.46,0.0016,39.38,481.105466,36.93,34,239,7.6,9.09,2.77,4.67,2.49,1.77,1,1.46,NA,NA,91.654,22.2,NA,15,NA,NA,NA,NA,0,0.391666667,NA,NA,NA,12.312268,49.793516,50.49268,0.43081,3.359495,72.796537,1.036749,0.11194,94.994663,0.166721,1.438045,266.110047,0.312452,0.194739,57.950747,0.243,0,,,,,
3.3.5.1.1,1,1,3,1,0,Droot,0.79,0.0014,35.88,313.2225496,32.59,25,182,8.05,3.7,0.66,4.57,3.11,1.64,1.09,0.79,NA,NA,99.437,25.9,NA,18,NA,NA,NA,NA,1,0.108333333,NA,NA,NA,18.220668,48.768016,50.381435,0.4062,2.152395,101.065637,1.09841,0.114301,116.970063,0.257421,1.050898,46.932347,0.382358,0.128802,41.325147,0.243,0,,,,,
3.4.1.0.1,0,1,4,2,0,Droot,1.52,0.0015,47.53,175.4500956,27.83,34,76,4.71,7.45,NA,2.02,2.52,0.71,0.87,1.52,NA,NA,41.022,25.2,NA,7,NA,NA,NA,NA,0,0.325,NA,NA,NA,12.006468,83.023916,49.510262,0.61727,4.553095,66.959737,1.104257,0.18909,112.104563,0.246321,1.843171,142.669947,0.729525,0.135813,63.780547,0.241,1,,,,,
3.4.2.0.1,0,1,4,1,0,Droot,2.83,0.0015,42.7,147.4232942,39.03,11,72,11.44,10.21,0.88,7.1,3.43,2.68,1.75,2.83,NA,NA,135.778,28.5,NA,20,NA,NA,NA,NA,3,0.033333333,NA,NA,NA,11.480668,46.871116,49.868088,0.407831,3.071795,65.691837,1.070226,0.102074,127.981663,0.168521,1.165486,105.256147,0.260008,0.164645,45.346547,0.249,0,,,,,
4.1.1.0.0,0,0,1,1,0,Droot,1.63,0.0016,32.78,301.3533746,30.02,19,181,10.61,9.65,1.16,6.09,3.22,1.93,1.06,1.63,NA,NA,153.067,28.4,NA,16,NA,NA,NA,NA,0,0.295833333,NA,NA,NA,12.097768,61.754516,49.739162,0.462026,6.452895,103.715937,1.295693,0.156515,123.996263,0.615721,1.579924,182.133947,0.529917,0.210781,79.636847,0.242,0,,,,,
4.1.3.0.0,0,0,1,2,0,Droot,4.96,NA,NA,NA,NA,73,1135,15.34,19.36,NA,9.68,5.18,3.61,2.38,4.96,NA,NA,190.313,35.5,NA,15,NA,NA,NA,NA,0,0.095833333,NA,NA,NA,11.148068,44.909216,50.619297,0.412452,2.905795,58.481537,1.135678,0.129558,100.195963,0.655121,1.03837,222.008047,0.285141,0.234265,44.733747,0.25,0,,,,,
4.1.5.0.1,0,1,1,2,0,Droot,2.71,0.0017,46.69,119.3575935,32.25,42,79,12.27,10.65,NA,7.86,4.88,2.98,2.06,2.71,NA,NA,184.743,36.1,NA,22,NA,NA,NA,NA,8,0.195833333,NA,NA,NA,13.733168,57.868116,49.327312,0.680217,4.807795,47.886237,1.474632,0.219542,160.338963,1.544521,1.969426,333.943147,0.383785,0.246988,74.877147,0.25,0,,,,,
4.3.1.0.0,0,0,3,2,0,Droot,4.14,0.0015,34.76,87.5777089,48.43,20,328,13.39,14.6,NA,8.33,4.6,3.17,2.56,4.14,NA,NA,151.287,38.3,NA,20,NA,NA,NA,NA,0,0.1375,NA,NA,NA,9.211968,55.538216,50.767132,0.381408,2.651395,56.531337,1.191861,0.131429,111.244363,0.303421,0.869916,199.641747,0.429041,0.178967,49.603847,0.246,0,,,,,
4.3.2.0.0,0,0,3,1,0,Droot,2.33,0.0015,48.57,-24.90922077,43.11,10,30,4.55,7.54,0.86,2.93,2.07,2.22,1.52,2.33,NA,NA,87.355,32.6,NA,13,NA,NA,NA,NA,0,0.05,NA,NA,NA,10.217868,54.955016,48.726349,0.513363,3.703195,59.556637,1.397567,0.15635,90.183463,0.432521,1.252254,204.423147,0.425046,0.266918,49.240147,0.249,0,,,,,
4.4.1.1.1,1,1,4,1,0,Droot,4.44,0.0016,44.47,80.08332087,46.69,17,124,13.43,15.07,1.16,8.38,4.55,3.07,2.21,4.44,NA,NA,164.37,33,NA,17,NA,NA,NA,NA,0,0.145833333,NA,NA,NA,25.534668,47.355616,50.530544,0.436375,4.641595,71.052137,1.406007,0.147179,90.167963,0.505621,1.181021,94.648047,0.493537,0.273446,64.712447,0.25,1,,,,,
4.4.2.1.0,1,0,4,1,0,Droot,2,0.0016,43.75,169.1123959,32.62,51,130,8.14,8.89,0.81,3.65,4.05,1.3,1.66,2,NA,NA,74.655,25.4,NA,7,NA,NA,NA,NA,1,0.291666667,NA,NA,NA,6.463168,80.098916,49.421043,0.841997,4.433095,52.476437,1.207303,0.187151,111.038863,0.651621,1.567079,83.569647,0.516137,0.328889,70.958547,0.249,0,,,,,
4.4.3.1.1,1,1,4,2,0,Droot,3.04,0.0017,34.18,-22.88092706,34.87,18,78,11.73,12.42,1.25,5.79,4.48,2.66,1.9,3.04,NA,NA,161.543,27.5,NA,24,NA,NA,NA,NA,0,0.129166667,NA,NA,NA,24.942268,39.046716,49.572781,0.498735,3.011795,64.181137,1.378392,0.138678,83.800763,0.364421,1.338104,276.799447,0.321609,0.227257,50.152147,0.25,0,,,,,
1.2.4.0.0,0,0,2,1,1,Droot,2.3721,0.0017,48.95,-25.42149233,41.83,NA,NA,7.95,9.89,1.34,5.56,2.37,2.8211,1.3118,2.3721,NA,NA,99.563,22.8,NA,14,NA,NA,NA,NA,0,0.175,NA,NA,NA,12.027768,43.563216,49.101902,0.373804,2.172995,38.223137,0.924673,0.11704,73.506063,0.163721,0.948295,312.989647,0.387663,0.116176,48.950747,0.247,0,,,,,
2.2.1.1.0,1,0,2,1,1,Droot,1.3539,0.0017,36.96,-25.0397775,36.2,NA,NA,5.94,6.78,NA,4.01,1.82,1.9055,1.0437,1.3539,NA,NA,96.888,18.4,NA,16,NA,NA,NA,NA,0,0.383333333,NA,NA,NA,30.697468,41.063816,49.647373,0.507362,4.505295,84.433337,1.092601,0.148486,121.612963,0.194921,1.181252,215.229347,0.471998,0.185558,51.532747,0.24,0,,,,,
2.2.2.1.1,1,1,2,2,1,Droot,1.3735,0.0016,40.14,-26.09478111,51.41,NA,NA,5.11,5.73,NA,4.03,1.22,1.9455,0.7166,1.3735,NA,NA,87.972,18,NA,8,NA,NA,NA,NA,0,0.2375,NA,NA,NA,18.078568,34.470916,49.057922,0.482947,2.614095,72.340837,0.920192,0.129045,98.592263,0.174221,0.970859,277.087647,0.369208,0.173445,62.300247,0.255,0,,,,,
2.2.3.1.1,1,1,2,1,1,Droot,1.7858,0.002,41.6,-27.2,38.71,NA,NA,8.87,7.06,NA,6.22,2.54,3.098,1.5263,1.7858,NA,NA,139.229,24.5,NA,26,NA,NA,NA,NA,0,0.133333333,NA,NA,NA,13.278468,28.028316,49.01231,0.38358,2.569595,51.004537,0.884708,0.102723,77.688463,0.230921,0.760256,182.616547,0.373662,0.094771,44.188047,0.253,0,,,,,
2.2.4.1.1,1,1,2,2,1,Droot,3.8924,0.0018,41.6,-25.722,38.71,NA,NA,11.83,14.55,NA,8.4,3.22,4.001,1.6608,3.8924,NA,NA,171.909,25,NA,29,NA,NA,NA,NA,3,0.0375,NA,NA,NA,9.331368,33.820416,49.407078,0.42622,2.429495,44.507337,1.17887,0.128602,91.912763,0.261121,1.126686,268.989647,0.397304,0.216216,50.177547,0.246,0,,,,,
2.3.2.0.1,0,1,3,2,1,Droot,0.8808,0.002,41.6,-28.641,38.71,NA,NA,6.6,8.41,NA,5.04,1.54,2.3767,2.7095,0.8808,NA,NA,107.158,19.2,NA,22,NA,NA,NA,NA,0,0.133333333,NA,NA,NA,14.280468,38.647116,48.616066,0.659885,3.443695,85.308237,1.092853,0.192915,129.765663,0.384221,1.01844,284.873647,0.7128,0.220672,80.829347,0.248,0,,,,,
2.4.2.0.1,0,1,4,2,1,Droot,1.0506,0.0016,41.26,-27.14757657,40.91,NA,NA,3.75,4.84,NA,3.19,0.63,1.2825,0.4485,1.0506,NA,NA,72.874,13.4,NA,6,NA,NA,NA,NA,0,0.129166667,NA,NA,NA,16.853068,35.671716,49.361565,0.475442,4.057495,79.095437,1.266977,0.154154,109.194563,0.519221,1.092826,49.797747,0.573724,0.230488,61.246247,0.246,0,,,,,
3.1.5.0.1,0,1,1,1,1,Droot,0.5753,0.0016,36.06,-23.81878921,32.48,NA,NA,6.33,2.72,NA,4.35,1.6,1.8631,0.8557,0.5753,NA,NA,108.634,19.8,NA,17,NA,NA,NA,NA,8,0.295833333,NA,NA,NA,13.678368,33.126516,48.827168,0.313166,2.360195,46.341937,1.116973,0.094265,54.633563,0.257621,1.179435,203.731747,0.271168,0.151899,33.647547,0.248,0,,,,,
